Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Preparation Method,Wastage Food Amount
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,25
Fruits,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Baked Goods,280,Social Gathering,350,Room Temperature,Summer,Finger Food,20
Baked Goods,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,15
Baked Goods,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,15
Dairy Products,261,Wedding,350,Room Temperature,Winter,Sit-down Dinner,23
Dairy Products,275,Social Gathering,388,Room Temperature,Summer,Finger Food,16
Dairy Products,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,50
Vegetables,380,Social Gathering,480,Room Temperature,All Seasons,Buffet,30
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,Finger Food,40
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Fruits,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,15
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,220,Social Gathering,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,220,Social Gathering,450,Room Temperature,All Seasons,Finger Food,20
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Meat,208,Social Gathering,282,Room Temperature,Summer,Sit-down Dinner,22
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,34
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,45
Baked Goods,250,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,270,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,208,Social Gathering,282,Room Temperature,Winter,Sit-down Dinner,22
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,25
Meat,302,Birthday,371,Refrigerated,Winter,Buffet,27
Meat,430,Wedding,477,Refrigerated,All Seasons,Buffet,29
Meat,400,Birthday,450,Refrigerated,Summer,Buffet,30
Meat,220,Wedding,300,Refrigerated,Summer,Sit-down Dinner,15
Meat,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,35
Meat,250,Wedding,350,Refrigerated,All Seasons,Buffet,20
Meat,290,Corporate,374,Refrigerated,Winter,Finger Food,27
Meat,220,Birthday,450,Room Temperature,Winter,Finger Food,20
Meat,300,Corporate,400,Refrigerated,Winter,Sit-down Dinner,20
Meat,240,Corporate,450,Refrigerated,Winter,Sit-down Dinner,20
Meat,442,Corporate,482,Refrigerated,Summer,Sit-down Dinner,32
Meat,300,Wedding,400,Refrigerated,Winter,Sit-down Dinner,20
Meat,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,50
Vegetables,491,Birthday,497,Refrigerated,Summer,Finger Food,32
Meat,220,Birthday,300,Refrigerated,Summer,Finger Food,20
Meat,350,Birthday,450,Refrigerated,Winter,Sit-down Dinner,45
Meat,300,Social Gathering,400,Refrigerated,All Seasons,Buffet,40
Vegetables,302,Social Gathering,371,Refrigerated,Summer,Buffet,27
Meat,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,25
Meat,300,Corporate,400,Refrigerated,Summer,Sit-down Dinner,15
Fruits,450,Corporate,500,Room Temperature,Winter,Finger Food,30
Meat,434,Corporate,495,Refrigerated,Summer,Sit-down Dinner,36
Meat,250,Corporate,350,Refrigerated,All Seasons,Sit-down Dinner,40
Meat,450,Birthday,500,Refrigerated,Summer,Finger Food,30
Meat,434,Wedding,495,Refrigerated,Winter,Sit-down Dinner,36
Meat,280,Birthday,350,Room Temperature,Winter,Finger Food,15
Meat,280,Corporate,480,Refrigerated,Winter,Sit-down Dinner,15
Meat,280,Corporate,350,Room Temperature,Winter,Finger Food,15
Meat,429,Corporate,496,Refrigerated,Summer,Sit-down Dinner,42
Meat,320,Corporate,400,Refrigerated,Winter,Finger Food,25
Meat,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,45
Fruits,220,Corporate,300,Room Temperature,Summer,Finger Food,20
Dairy Products,220,Birthday,300,Refrigerated,Winter,Sit-down Dinner,15
Fruits,250,Social Gathering,350,Room Temperature,Winter,Buffet,20
Dairy Products,300,Corporate,400,Room Temperature,Summer,Buffet,30
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,Buffet,30
Baked Goods,430,Social Gathering,477,Room Temperature,Winter,Buffet,29
Fruits,300,Birthday,400,Room Temperature,Summer,Finger Food,20
Fruits,320,Corporate,400,Room Temperature,All Seasons,Buffet,25
Baked Goods,280,Wedding,350,Room Temperature,Winter,Finger Food,20
Vegetables,350,Birthday,450,Room Temperature,Summer,Sit-down Dinner,35
Meat,453,Social Gathering,484,Refrigerated,Summer,Sit-down Dinner,54
Vegetables,300,Wedding,400,Refrigerated,All Seasons,Sit-down Dinner,20
Baked Goods,320,Corporate,400,Room Temperature,Winter,Finger Food,25
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,300,Corporate,400,Room Temperature,All Seasons,Buffet,40
Meat,350,Wedding,450,Refrigerated,All Seasons,Buffet,40
Baked Goods,250,Corporate,350,Room Temperature,Summer,Buffet,10
Meat,220,Wedding,300,Refrigerated,Winter,Finger Food,20
Meat,220,Birthday,300,Refrigerated,Summer,Finger Food,15
Meat,250,Corporate,350,Refrigerated,Winter,Buffet,10
Fruits,250,Corporate,350,Refrigerated,Winter,Buffet,10
Meat,220,Corporate,300,Refrigerated,Summer,Finger Food,15
Meat,270,Corporate,400,Refrigerated,Summer,Sit-down Dinner,40
Meat,280,Birthday,350,Refrigerated,All Seasons,Finger Food,20
Fruits,300,Wedding,400,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,320,Birthday,400,Room Temperature,Winter,Buffet,40
Baked Goods,280,Birthday,400,Room Temperature,Summer,Buffet,25
Vegetables,450,Corporate,500,Refrigerated,Summer,Finger Food,30
Meat,280,Birthday,480,Refrigerated,Winter,Sit-down Dinner,15
Meat,380,Corporate,480,Refrigerated,Summer,Buffet,30
Vegetables,320,Birthday,480,Refrigerated,All Seasons,Buffet,40
Meat,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,35
Meat,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,25
Vegetables,220,Social Gathering,300,Refrigerated,Summer,Finger Food,20
Dairy Products,220,Social Gathering,300,Room Temperature,Winter,Buffet,10
Baked Goods,310,Social Gathering,350,Room Temperature,Summer,Finger Food,35
Baked Goods,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Meat,400,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,25
Meat,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,20
Meat,280,Social Gathering,350,Refrigerated,All Seasons,Finger Food,20
Vegetables,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,45
Meat,400,Social Gathering,500,Room Temperature,Winter,Finger Food,40
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,250,Social Gathering,480,Room Temperature,Summer,Finger Food,20
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Finger Food,20
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,40
Baked Goods,250,Birthday,350,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,250,Corporate,350,Room Temperature,Summer,Sit-down Dinner,25
Baked Goods,320,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,15
Baked Goods,247,Corporate,348,Room Temperature,All Seasons,Finger Food,16
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,380,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,35
Fruits,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,50
Fruits,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,20
Meat,320,Social Gathering,400,Refrigerated,Summer,Finger Food,25
Meat,320,Corporate,400,Refrigerated,All Seasons,Finger Food,25
Fruits,280,Birthday,350,Refrigerated,All Seasons,Finger Food,20
Baked Goods,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Vegetables,290,Wedding,374,Refrigerated,Summer,Finger Food,27
Fruits,488,Corporate,498,Room Temperature,Summer,Finger Food,63
Vegetables,220,Birthday,300,Refrigerated,Winter,Finger Food,15
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,35
Fruits,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,40
Fruits,400,Corporate,450,Room Temperature,All Seasons,Buffet,30
Fruits,342,Birthday,405,Room Temperature,All Seasons,Finger Food,29
Meat,292,Social Gathering,470,Refrigerated,Summer,Sit-down Dinner,50
Fruits,320,Wedding,400,Room Temperature,All Seasons,Finger Food,15
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,25
Dairy Products,380,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,247,Social Gathering,348,Room Temperature,All Seasons,Finger Food,16
Dairy Products,397,Wedding,482,Room Temperature,All Seasons,Sit-down Dinner,31
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,15
Baked Goods,280,Wedding,350,Room Temperature,Winter,Finger Food,15
Baked Goods,320,Corporate,480,Room Temperature,Summer,Buffet,40
Vegetables,280,Birthday,350,Refrigerated,Summer,Finger Food,20
Baked Goods,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Baked Goods,434,Wedding,495,Room Temperature,Winter,Sit-down Dinner,36
Meat,300,Corporate,400,Refrigerated,All Seasons,Finger Food,15
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,220,Birthday,300,Room Temperature,Summer,Finger Food,20
Baked Goods,275,Birthday,388,Room Temperature,All Seasons,Finger Food,16
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,40
Vegetables,250,Social Gathering,480,Refrigerated,Summer,Finger Food,20
Fruits,300,Social Gathering,400,Refrigerated,All Seasons,Buffet,40
Fruits,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,40
Vegetables,342,Corporate,405,Refrigerated,Winter,Finger Food,29
Baked Goods,320,Birthday,480,Room Temperature,All Seasons,Buffet,40
Fruits,488,Social Gathering,498,Room Temperature,Winter,Finger Food,63
Baked Goods,280,Corporate,350,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,280,Birthday,350,Room Temperature,Winter,Finger Food,20
Fruits,280,Corporate,480,Room Temperature,Summer,Sit-down Dinner,15
Dairy Products,300,Wedding,400,Room Temperature,Summer,Finger Food,20
Meat,300,Social Gathering,450,Refrigerated,All Seasons,Finger Food,35
Dairy Products,280,Wedding,480,Room Temperature,Summer,Sit-down Dinner,15
Fruits,439,Social Gathering,459,Room Temperature,All Seasons,Buffet,39
Dairy Products,380,Wedding,480,Room Temperature,Summer,Sit-down Dinner,10
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,247,Birthday,348,Room Temperature,All Seasons,Finger Food,16
Baked Goods,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Finger Food,15
Dairy Products,280,Wedding,480,Room Temperature,All Seasons,Sit-down Dinner,15
Baked Goods,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,50
Vegetables,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,40
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,Buffet,40
Fruits,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,20
Fruits,438,Corporate,493,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Fruits,320,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Meat,250,Social Gathering,350,Refrigerated,Winter,Sit-down Dinner,20
Fruits,400,Corporate,350,Room Temperature,All Seasons,Sit-down Dinner,35
Vegetables,350,Corporate,450,Refrigerated,All Seasons,Sit-down Dinner,25
Baked Goods,220,Wedding,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Finger Food,20
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Finger Food,30
Dairy Products,300,Birthday,450,Room Temperature,All Seasons,Finger Food,35
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Finger Food,40
Dairy Products,488,Corporate,498,Room Temperature,All Seasons,Finger Food,63
Dairy Products,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,35
Vegetables,230,Social Gathering,500,Refrigerated,Winter,Sit-down Dinner,30
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,320,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,208,Wedding,282,Room Temperature,All Seasons,Sit-down Dinner,22
Baked Goods,350,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Finger Food,20
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Finger Food,20
Dairy Products,240,Social Gathering,450,Room Temperature,Summer,Sit-down Dinner,20
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,400,Corporate,400,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Buffet,20
Meat,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,30
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Finger Food,15
Dairy Products,280,Social Gathering,350,Room Temperature,Summer,Sit-down Dinner,25
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,15
Dairy Products,453,Birthday,484,Room Temperature,All Seasons,Sit-down Dinner,54
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Fruits,220,Social Gathering,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,208,Birthday,282,Room Temperature,All Seasons,Sit-down Dinner,22
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Finger Food,15
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Meat,320,Wedding,400,Refrigerated,Winter,Buffet,30
Meat,300,Birthday,400,Refrigerated,Summer,Buffet,40
Meat,302,Wedding,371,Refrigerated,All Seasons,Buffet,27
Meat,250,Wedding,350,Refrigerated,Summer,Finger Food,35
Fruits,320,Social Gathering,480,Refrigerated,Winter,Buffet,40
Meat,320,Corporate,400,Refrigerated,Winter,Finger Food,25
Baked Goods,284,Birthday,443,Room Temperature,Summer,Buffet,32
Meat,280,Wedding,350,Refrigerated,All Seasons,Finger Food,20
Meat,453,Wedding,484,Refrigerated,Summer,Sit-down Dinner,54
Meat,400,Birthday,500,Refrigerated,Summer,Sit-down Dinner,25
Meat,320,Social Gathering,400,Room Temperature,Summer,Buffet,30
Vegetables,434,Wedding,495,Refrigerated,Summer,Sit-down Dinner,36
Meat,300,Corporate,400,Refrigerated,All Seasons,Finger Food,15
Fruits,220,Corporate,300,Room Temperature,Summer,Finger Food,20
Vegetables,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,45
Meat,300,Corporate,400,Refrigerated,Winter,Finger Food,25
Meat,300,Wedding,400,Refrigerated,All Seasons,Sit-down Dinner,25
Fruits,412,Birthday,478,Room Temperature,Summer,Sit-down Dinner,38
Fruits,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Meat,300,Social Gathering,400,Refrigerated,Winter,Sit-down Dinner,20
Fruits,270,Birthday,400,Refrigerated,All Seasons,Sit-down Dinner,40
Baked Goods,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,45
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Buffet,10
Baked Goods,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,25
Vegetables,300,Corporate,400,Room Temperature,Summer,Finger Food,15
Dairy Products,380,Wedding,480,Room Temperature,Winter,Buffet,30
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Buffet,35
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Finger Food,15
Vegetables,350,Social Gathering,450,Refrigerated,Summer,Finger Food,20
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Buffet,10
Dairy Products,320,Wedding,400,Room Temperature,Summer,Finger Food,25
Fruits,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,45
Baked Goods,412,Corporate,478,Room Temperature,Winter,Sit-down Dinner,38
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Fruits,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,25
Vegetables,320,Birthday,400,Refrigerated,All Seasons,Finger Food,25
Vegetables,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,25
Vegetables,250,Wedding,350,Refrigerated,Summer,Sit-down Dinner,25
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Fruits,429,Social Gathering,496,Room Temperature,Winter,Sit-down Dinner,42
Baked Goods,280,Wedding,354,Room Temperature,All Seasons,Sit-down Dinner,23
Dairy Products,400,Birthday,350,Room Temperature,Summer,Sit-down Dinner,35
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Finger Food,20
Dairy Products,280,Wedding,480,Room Temperature,All Seasons,Sit-down Dinner,15
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,Finger Food,40
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,208,Birthday,282,Room Temperature,Winter,Sit-down Dinner,22
Vegetables,230,Social Gathering,500,Refrigerated,Summer,Sit-down Dinner,30
Dairy Products,220,Birthday,300,Room Temperature,All Seasons,Sit-down Dinner,15
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,15
Dairy Products,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,50
Baked Goods,208,Social Gathering,282,Room Temperature,Winter,Sit-down Dinner,22
Fruits,261,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,23
Meat,320,Birthday,480,Refrigerated,Winter,Buffet,40
Fruits,300,Wedding,400,Refrigerated,Winter,Buffet,40
Meat,491,Birthday,497,Refrigerated,Winter,Finger Food,32
Meat,220,Corporate,300,Refrigerated,Winter,Buffet,10
Meat,275,Wedding,388,Refrigerated,Winter,Finger Food,16
Dairy Products,350,Social Gathering,450,Room Temperature,Winter,Finger Food,20
Dairy Products,300,Corporate,400,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,35
Meat,300,Birthday,400,Refrigerated,Winter,Buffet,30
Meat,320,Wedding,400,Refrigerated,Winter,Finger Food,25
Meat,380,Corporate,480,Refrigerated,Summer,Buffet,30
Meat,442,Corporate,482,Refrigerated,Summer,Sit-down Dinner,32
Baked Goods,250,Wedding,350,Room Temperature,Winter,Buffet,10
Baked Goods,250,Corporate,500,Room Temperature,Summer,Buffet,40
Vegetables,300,Wedding,400,Refrigerated,Winter,Buffet,20
Meat,250,Wedding,350,Refrigerated,Winter,Finger Food,20
Meat,320,Social Gathering,400,Refrigerated,Winter,Buffet,30
Meat,250,Corporate,350,Refrigerated,Winter,Sit-down Dinner,20
Meat,350,Birthday,450,Refrigerated,Winter,Sit-down Dinner,45
Meat,380,Wedding,500,Room Temperature,Summer,Sit-down Dinner,35
Meat,400,Birthday,500,Refrigerated,All Seasons,Finger Food,40
Fruits,350,Corporate,450,Room Temperature,Winter,Finger Food,20
Vegetables,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,50
Fruits,350,Wedding,450,Room Temperature,All Seasons,Finger Food,10
Fruits,250,Wedding,350,Room Temperature,Summer,Sit-down Dinner,40
Fruits,280,Birthday,350,Room Temperature,All Seasons,Finger Food,15
Fruits,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,50
Meat,300,Birthday,400,Room Temperature,Winter,Finger Food,25
Baked Goods,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Fruits,320,Social Gathering,480,Room Temperature,Winter,Buffet,40
Meat,230,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,20
Meat,453,Corporate,484,Room Temperature,Winter,Sit-down Dinner,54
Fruits,380,Wedding,500,Room Temperature,Summer,Sit-down Dinner,35
Vegetables,320,Corporate,480,Room Temperature,Winter,Buffet,40
Meat,491,Social Gathering,497,Refrigerated,All Seasons,Finger Food,32
Fruits,280,Birthday,350,Room Temperature,Winter,Finger Food,20
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,25
Fruits,450,Social Gathering,500,Room Temperature,Winter,Finger Food,30
Vegetables,220,Corporate,300,Refrigerated,Summer,Finger Food,15
Fruits,261,Corporate,350,Room Temperature,Winter,Sit-down Dinner,23
Fruits,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Meat,320,Corporate,400,Refrigerated,All Seasons,Sit-down Dinner,25
Dairy Products,250,Wedding,350,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,220,Social Gathering,450,Room Temperature,Summer,Finger Food,20
Baked Goods,292,Wedding,470,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,320,Corporate,400,Room Temperature,Summer,Finger Food,20
Dairy Products,300,Corporate,400,Room Temperature,Winter,Finger Food,25
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,40
Baked Goods,453,Birthday,484,Room Temperature,All Seasons,Sit-down Dinner,54
Baked Goods,320,Wedding,400,Room Temperature,Summer,Sit-down Dinner,35
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Finger Food,15
Dairy Products,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,310,Social Gathering,350,Room Temperature,Summer,Finger Food,35
Dairy Products,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Fruits,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,230,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,30
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,250,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,20
Baked Goods,397,Social Gathering,482,Room Temperature,Winter,Sit-down Dinner,31
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,20
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,35
Meat,320,Social Gathering,480,Room Temperature,Winter,Buffet,40
Vegetables,280,Wedding,350,Refrigerated,Winter,Finger Food,20
Meat,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,30
Dairy Products,438,Wedding,493,Room Temperature,Winter,Sit-down Dinner,35
Vegetables,412,Social Gathering,478,Room Temperature,Summer,Sit-down Dinner,38
Dairy Products,300,Wedding,400,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,350,Social Gathering,450,Room Temperature,Winter,Finger Food,30
Meat,300,Birthday,400,Refrigerated,Winter,Buffet,30
Meat,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Fruits,320,Birthday,400,Room Temperature,Summer,Buffet,30
Baked Goods,367,Birthday,420,Room Temperature,Winter,Buffet,40
Vegetables,220,Wedding,300,Refrigerated,Summer,Buffet,10
Baked Goods,250,Corporate,350,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,35
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Finger Food,20
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,35
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Baked Goods,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Dairy Products,310,Social Gathering,350,Room Temperature,All Seasons,Finger Food,35
Baked Goods,342,Social Gathering,405,Room Temperature,All Seasons,Finger Food,29
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Finger Food,20
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,25
Meat,400,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,40
Vegetables,302,Birthday,371,Refrigerated,All Seasons,Buffet,27
Meat,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Fruits,400,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,40
Meat,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,25
Meat,250,Corporate,400,Refrigerated,Winter,Sit-down Dinner,25
Meat,453,Birthday,484,Refrigerated,Summer,Sit-down Dinner,54
Meat,208,Wedding,282,Refrigerated,Winter,Sit-down Dinner,22
Meat,320,Wedding,400,Room Temperature,Winter,Finger Food,25
Fruits,292,Wedding,470,Refrigerated,Summer,Sit-down Dinner,50
Meat,240,Wedding,450,Refrigerated,Summer,Sit-down Dinner,20
Meat,220,Wedding,300,Refrigerated,Winter,Finger Food,15
Meat,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,35
Vegetables,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Meat,380,Corporate,480,Refrigerated,Summer,Sit-down Dinner,30
Baked Goods,320,Birthday,400,Room Temperature,Summer,Buffet,25
Fruits,350,Corporate,450,Room Temperature,Winter,Finger Food,30
Vegetables,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,35
Fruits,280,Birthday,350,Refrigerated,All Seasons,Finger Food,20
Fruits,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,45
Meat,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,40
